Município;Habitantes:INTEGER
mun_4313037;4668
mun_4313086;2445
mun_4313102;6340
mun_4313201;19025
mun_4313300;22758
mun_4313334;2437
mun_4313359;3339
mun_4313490;3978
mun_4313409;237044
mun_4313706;34229
mun_4313805;6920
mun_4313953;9891
mun_4314001;6812
mun_4314035;3506
mun_4314050;50906
mun_4314068;5144
mun_4314076;6011
mun_4314100;181299
mun_4314159;8036
mun_4314209;7765
mun_4314308;3973
mun_4314407;321818
mun_4314423;5180
mun_4314456;2515
mun_4314472;4471
mun_4314555;2748
mun_4314704;10522
mun_4314779;3857
mun_4314787;1750
mun_4314803;30084
mun_4315008;5421
mun_4315057;2544
mun_4315073;1852
mun_4315107;10551
mun_4315131;1853
mun_4315149;2476
mun_4315172;2000
mun_4315206;4086
mun_4315321;2710
mun_4315354;3653
mun_4315453;2155
mun_4315503;15834
mun_4315602;192582
mun_4315701;37390
mun_4315750;4305
mun_4315800;10230
mun_4315909;5743
mun_4316006;19423
mun_4316105;10141
mun_4316402;39580
mun_4316428;2593
mun_4316436;2869
mun_4316451;11877
mun_4316477;2669
mun_4316501;6747
mun_4316600;15359
mun_4316709;8828
mun_4316758;5673
mun_4316808;117214
mun_4316956;6018
mun_4317202;68573
mun_4317251;1713
mun_4317301;30250
mun_4317004;8163
mun_4317103;81964
mun_4317400;49014
mun_4304804;25160
mun_4317707;11200
mun_4317954;2461
mun_4318002;61433
mun_4318200;20469
mun_4318408;22075
mun_4318440;2774
mun_4318499;2193
mun_4318507;25474
mun_4318606;6873
mun_4318622;3289
mun_4319000;20047
mun_4319158;7420
mun_4319208;5727
mun_4319307;6367
mun_4319356;3317
mun_4319372;2864
mun_4319604;23704
mun_4319703;3631
mun_4319711;2168
mun_4319802;8429
mun_4320008;129615
mun_4304697;2636
mun_4320206;10890
mun_4320230;3011
mun_4320321;2814
mun_4320354;5170
mun_4320404;14126
mun_4320453;2281
mun_4320503;6286
mun_4320552;5819
mun_4320602;3842
mun_4320701;14283
mun_4320859;4131
mun_4320909;19232
mun_4321006;10430
mun_4321105;16496
mun_4321204;54626
mun_4321329;2970
mun_4321352;5351
mun_4321436;9804
mun_4321451;27180
mun_4305116;2967
mun_4308458;4577
mun_4321477;6460
mun_4321493;2952
mun_4321501;33901
mun_4321600;40248
mun_4321667;10115
mun_4321956;5787
mun_4322103;5883
mun_4322152;4376
mun_4322186;1571
mun_4322202;22198
mun_4322251;3896
mun_4322301;8557
mun_4322327;3520
mun_4322343;2294
mun_4322509;61235
mun_4322541;5083
mun_4322707;23931
mun_4322855;1974
mun_4322905;5308
mun_4323101;5285
mun_4323309;3206
mun_4323408;4219
mun_4323457;4221
mun_4323507;2832
mun_4323705;2759
mun_4323804;12128
mun_4309605;18246
mun_4306932;8933
mun_4308052;2567
mun_4309654;6038
mun_4304903;8645
mun_4304952;3007
mun_4319406;16358
mun_4309209;253060
mun_4309258;1598
mun_4309308;94884
mun_4309407;22652
mun_4304705;59047
mun_4305009;9321
mun_4306403;27517
mun_4306502;14245
mun_4306700;3396
mun_4321709;23792
mun_4304630;41320
mun_4304663;24267
mun_4304689;11600
mun_4304671;3890
mun_4304713;7308
mun_4305108;427664
mun_4305124;6388
mun_4305157;2417
mun_4305173;10228
mun_4305306;9375
mun_4305355;35352
mun_4305371;3471
mun_4321857;4381
mun_4322608;65487
mun_4309159;3968
mun_4318309;60006
mun_4318432;2633
mun_4310306;4085
mun_4320651;2452
mun_4322350;1487
mun_4307906;63293
mun_4308003;6668
mun_4309555;4253
mun_4305454;12426
mun_4305439;5918
